date,open,high,low,close,volume,daily_change
2024-01-23,195.02,195.75,193.8299,195.18,42355590,0.1599999999999966
2024-01-22,192.3,195.33,192.26,193.89,60133852,1.589999999999975
2024-01-19,189.33,191.95,188.82,191.56,68902985,2.2299999999999898
2024-01-18,186.09,189.14,185.83,188.63,78005754,2.539999999999992
2024-01-17,181.27,182.93,180.3,182.68,47317433,1.4099999999999966
2024-01-16,182.16,184.26,180.934,183.63,65603041,1.4699999999999989
2024-01-12,186.06,186.74,185.19,185.92,40477782,-0.14000000000001478
2024-01-11,186.54,187.05,183.62,185.59,49128408,-0.9499999999999886
2024-01-10,184.35,186.4,183.92,186.19,46792908,1.8400000000000034
2024-01-09,183.92,185.15,182.73,185.14,42841809,1.2199999999999989
2024-01-08,182.085,185.6,181.5,185.56,59144470,3.4749999999999943
2024-01-05,181.99,182.76,180.17,181.18,62196924,-0.8100000000000023
2024-01-04,182.15,183.0872,180.88,181.91,71983570,-0.2400000000000091
2024-01-03,184.22,185.88,183.43,184.25,58414460,0.030000000000001137
2024-01-02,187.15,188.44,183.885,185.64,82488674,-1.5100000000000193
2023-12-29,193.9,194.4,191.725,192.53,42672148,-1.3700000000000045
2023-12-28,194.14,194.66,193.17,193.58,34049898,-0.5599999999999739
2023-12-27,192.49,193.5,191.09,193.15,47899806,0.6599999999999966
2023-12-26,193.61,193.89,192.83,193.05,28919310,-0.5600000000000023
2023-12-22,195.18,195.41,192.97,193.6,37149570,-1.5800000000000125
2023-12-21,196.1,197.08,193.5,194.68,46482549,-1.4199999999999875
2023-12-20,196.9,197.68,194.83,194.83,52242815,-2.069999999999993
2023-12-19,196.16,196.95,195.89,196.94,40233138,0.7800000000000011
2023-12-18,196.09,196.63,194.39,195.89,55751861,-0.20000000000001705
2023-12-15,197.53,198.3999,197.0,197.57,128538401,0.03999999999999204
2023-12-14,198.02,199.62,196.16,198.11,66831572,0.09000000000000341
2023-12-13,195.09,198.0,194.85,197.96,70404183,2.8700000000000045
2023-12-12,193.08,194.72,191.721,194.71,52696900,1.6299999999999955
2023-12-11,193.11,193.49,191.42,193.18,60943699,0.06999999999999318
2023-12-08,194.2,195.99,193.67,195.71,53406358,1.5100000000000193
2023-12-07,193.63,195.0,193.59,194.27,47477655,0.6400000000000148
2023-12-06,194.45,194.76,192.11,192.32,40895115,-2.1299999999999955
2023-12-05,190.21,194.4,190.18,193.42,66628398,3.2099999999999795
2023-12-04,189.98,190.05,187.4511,189.43,43389519,-0.549999999999983
2023-12-01,190.33,191.56,189.23,191.24,45704823,0.9099999999999966
2023-11-30,189.84,190.32,188.19,189.95,48794366,0.10999999999998522
2023-11-29,190.9,192.09,188.97,189.37,43014224,-1.5300000000000011
2023-11-28,189.78,191.08,189.4,190.4,38415419,0.6200000000000045
2023-11-27,189.92,190.67,188.9,189.79,40552609,-0.12999999999999545
